,question,relevant_documents_from_dense_retrieval
62,מדוע נדרש שילוב של מדעי הטבע וההנדסה בהנדסה ביורפואית?,[]
63,כיצד מתבטאת עבודה בצוותי מחקר רב-תחומיים בהנדסה ביורפואית?,"[Document(id='7815ac1e-8507-4b29-86df-a5e08844bea2', metadata={'source': '361-2025.pdf', 'start_index': -1}, page_content='�ל ממחלקות\nשונות בפקולטות להנדסה ולמדעי הטבע בתחום זה. פעילות זו מתבטאת הן בשיתוף הנחיית תלמידים\nלתיזה והן במחקרים משותפים הנפרשים על פני המגוון הרחב של טכנולוגיות האלקטרואופטיקה\nוהפוטוניקה .\nקורסי השלמה\nסטודנטים ללא לימודים בסיסיים באופטיקה נדרשים'), Document(id='f3bf404b-a470-484c-a0fd-690793a02a06', metadata={'source': '372-2025.pdf', 'start_index': -1}, page_content='בוא לרפואה קלינית.\n• התמחות רב-תחומית ייחודית בישום מתודולוגיות חישוביות לתחומי הרפואה השונים.\nהמסלול לתואר שני ברפואה חישובית הינו מחקרי ומחייב הגשת תזה. המסלול משותף לפקולטה להנדסה\nוהפקולטה למדעי הבריאות.\nבדרך כלל יהיה לתלמיד מנחה מהמחלקה להנדסת מערכות תו�')]"
64,מה תפקידה של שנת הפרויקט המסכמת בהנדסה ביורפואית?,[]
65,כיצד מסייעת התוכנית להבין מכשירי מדידה ודימות רפואיים?,[]
66,"אילו תחומי התמחות מוצעים בתכנית, כמו ביומכניקה או נוירו-הנדסה?","[Document(id='2cce989e-78c7-487b-a98d-0eacf9f44c66', metadata={'source': '372-2025.pdf', 'start_index': -1}, page_content='היה לתלמיד מנחה מהמחלקה להנדסת מערכות תוכנה ומידע, ומנחה נוסף מהפקולטה למדעי\nהרפואה.\nלמי מתאימה התכנית?\nלימודי המגמה מיועדים בעיקר לבוגרי תואר ראשון בהנדסת מערכות מידע, הנדסת תוכנה, מדעי המחשב או\nתכניות דומות, או לבוגרי תואר ראשון לפחות ברפואה, במ�'), Document(id='088ab291-2bed-4549-bcf5-d6a3e276e21d', metadata={'source': '374-2025.pdf', 'start_index': 35386}, page_content='Sc בהנדסה, בעיקר הנדסה אזרחית )כולל מהנדסי\nבנין(, הנדסת ביוטכנולוגיה, הנדסה כימית, הנדסת מכונות, הנדסה גרעינית, והנדסת חומרים, וכן\nבפני בוגרי תואר ראשון במדעי הטבע כגון: גיאולוגיה, כימיה ומדעי החיים. ייתכן ויידרשו השלמות\nבהתאם למיקוד אותו מבקש ה')]"
67,כיצד מושם דגש על מחקר בסיסי מול יישומי בהנדסה ביורפואית?,"[Document(id='12ad0220-30bf-4141-8d13-d0b7e1dc55de', metadata={'source': '367-2025.pdf', 'start_index': -1}, page_content='אר ראשון.\n2 הקורס ניתן בשפה האנגלית. נא לבדוק עם מרצה/ת הקורס בתחילת השנה .\n10\n אשכול ביומכניקה ורובוטיקה\nקורסים מקבוצה 1: מעבדה בביומכניקה, חוזק חומרים להנדסה ביורפואית, מעבר חום וחומר 1 ומבוא לרובוטיקה\nויישומים להנדסה ביורפואית .\nקורסים מקבוצה 2: מכניקה של �')]"
68,מדוע הכשרה בפיזיולוגיה אנושית רלוונטית למהנדס ביורפואי?,"[Document(id='5844d40f-65cf-439d-aba4-e31604e9f912', metadata={'source': '362-2025.pdf', 'start_index': 20832}, page_content=' יו""ר ועדת הוראה.\n15\n מסלול התמחות 8: הנדסת חומרים\nבמסלול זה יתמחה מהנדס המכונות בחומרים ובחירתם. הידע הנוסף בחומרים ישפר באופן משמעותי את\nיכולתו לתכנן פרקי מכונות ושימוש בחומרים מיוחדים כמו חומרים פלסטיים וקרמיים. מהנדס מכונות בוגר\nהמסלול יוכל להשתלב בכל')]"
69,כיצד מקדמת התכנית הבנה מעמיקה של כירורגיה רובוטית ואבחון מתקדם?,[]
70,מהו ייחודה של היחידה להנדסה גרעינית בארץ?,"[Document(id='83fcc181-285c-4b18-93fb-daf4139ebd98', metadata={'source': '362-2025.pdf', 'start_index': 21486}, page_content='דסים, מדענים וחוקרים לעיסוק\nבנושאי אנרגיה גרעינית, תכנות כוח ועוד. ניתן להמשיך בלימודים מתקדמים במסגרת לימודי מוסמכים\nבהנדסת מכונות או במסגרת המחלקה להנדסה גרעינית.\nיש לבחור את הקורסים: פיזיקה של כורים גרעיניים, חומרים גרעיניים ונזקי קרינה, תרמו-הידראו')]"
71,אילו יישומים רפואיים נכללים בתחום ההנדסה הגרעינית?,[]
72,אילו נושאי מחקר עיקריים נחקרים במסגרת היחידה להנדסה גרעינית?,[]
73,מדוע יש חשיבות לפיתוח שיטות אנליטיות וחישוביות בטרנספורט ניטרונים?,[]
74,כיצד היחידה משלבת מחקר בסיסי עם שיתופי פעולה בינלאומיים?,[]
75,מהן אפשרויות התעסוקה לבוגרי התואר בהנדסה גרעינית?,[]
76,כיצד מטפלת התכנית בהיבטי מיגון קרינה?,[]
77,מהו הדגש על שיטות מונטה קרלו בחישובי קרינה?,[]
78,כיצד מכינים הסטודנטים לעבודת מחקר בתואר השני והשלישי בהנדסה גרעינית?,[]
79,מדוע יש צורך במהנדסים גרעיניים בעלי ידע נרחב בפיזיקת חלקיקים?,[]
80,מהו תפקידו של מהנדס חומרים בתעשייה המודרנית?,[]
81,כיצד משפיעה בחירת חומרים נכונה על שלבי התכנון והייצור?,"[Document(id='f17d5b32-039d-4102-9dcc-a1cff2c5d33a', metadata={'source': '374-2025.pdf', 'start_index': -1}, page_content='�ת מבנים. חיזוי מחזור החיים\nשל רכיבי בניין, שיטות מימוש פרויקטים, ניהול הבנייה, חומרי בנייה מתקדמים ובנייה בת-קיימא.\nבעולם גוברת ההכרה כי לימודי הנדסה אזרחית וסביבתית הם חלקים ממכלול של מקצועות העוסקים בתכן,\nהקמה, הפעלה, בטיחות וקיימות של הסביבה הבנויה וכי ח')]"
82,אילו שתי מגמות עיקריות מוצעות במחלקה להנדסת חומרים?,[]
83,מהם עקרונות היסוד הנלמדים בשנים הראשונות ללימודי הנדסת חומרים?,[]
84,כיצד משלימים הסטודנטים את התמחותם במסלול חומרים אלקטרוניים?,[]
85,מה מהות פרויקט המהנדס הנערך בסוף התואר בהנדסת חומרים?,"[Document(id='2b151861-9fe7-4f9f-810a-947d6043445d', metadata={'source': '361-2025.pdf', 'start_index': -1}, page_content='שון, מכתבי המלצה, והישגי המועמד בקורסי\nרלוונטים בתואר הראשון .\nבחוג מתקיימים 2 מסלולי לימוד: מסלול רגיל עם עבודת גמר ומסלול ללא עבודת גמר ) ""סמינר מסכם ""(.\nתחומי התמחות בתואר שני בהנדסת אלקטרואופטיקה\nהחוג להנדסת אלקטרואופטיקה ופוטוניקה מציע תכנית הלימודי�')]"
86,מדוע משולבים לימודי כימיה ופיזיקה בהכשרת מהנדסי חומרים?,[]
87,כיצד מתבטאת תכנית המצוינות לתואר כפול בפיסיקה והנדסת חומרים?,[]
88,מה המשמעות של בחירה במסלול הנדסת חומרים מבניים?,[]
89,כיצד יכול בוגר הנדסת חומרים לתרום לפיתוח תהליכים חדשניים?,[]
90,מהו אופיו של מהנדס כימי בתעשייה כיום?,"[Document(id='b9cad8c7-7855-4915-b410-0433ea411472', metadata={'source': '372-2025.pdf', 'start_index': 12106}, page_content='ארגון כדי לשלב ""בינה מלאכותית"" בהתנהלות של הארגון. הלימודים במגמה זו\nנועדה לענות על צרכי ארגונים רבים בתחום זה.\nמגמה זו פותחה במיוחד לתלמידי הנדסת מערכות מידע ותלווה במספר גדול של דוגמאות מעשיות\nבתחום לימודיהם. כידוע המוטיבציה של הסטודנטים להבין את המושג')]"
91,כיצד משלבים נושאי איכות סביבה ואנרגיה בתכנית להנדסה כימית?,[]
92,אילו תחומי התמחות מוצעים במסלול לניהול ויזמות בהנדסה כימית?,[]
