,question,relevant_documents_from_dense_retrieval
0,מהי הגישה העיקרית שמתוארת בתחום הנדסת מערכות?,[]
1,מהן המטרות העיקריות של התוכנית להנדסת מערכות באוניברסיטת בן גוריון?,"[Document(id='18722b0c-3dbc-4e8b-a2a8-59aa6772b2d7', metadata={'source': '372-2025.pdf', 'start_index': 36665}, page_content='תונים, מערכות לומדות וכריית מידע.\nאוניברסיטת בן-גוריון בנגב ידועה כמובילה בתחום מדעי הנתונים בארץ ובעולם, ומציעה לסטודנטים\nבתכנית תחומי מחקר מרתקים, חלקם בשיתוף עם חברות בינלאומיות .\nלמי מיועדת התכנית : סטודנטים בעלי תואר ראשון בהנדסת מערכות מידע'), Document(id='132534c3-c27a-4bb4-8a88-f26ba3fda7d1', metadata={'source': '374-2025.pdf', 'start_index': -1}, page_content='אר ראשון – הנדסת בניין\nתוכנית הלימודים של לימודי הסמכה של מהנדס.ת הבניין באוניברסיטת בן-גוריון בנגב בנויה ממקצועות מדעיים\nבסיסיים במתמטיקה, פיזיקה, כימיה ומחשוב, הניתנים על ידי הפקולטה למדעי הטבע, ושאחריהם נלמדים\nמקצועות האנליזה והתכן. המקצועות בה�')]"
2,כיצד התוכנית בהנדסת מערכות מתייחסת לצרכים הטכניים של הלקוח?,"[Document(id='b9cad8c7-7855-4915-b410-0433ea411472', metadata={'source': '372-2025.pdf', 'start_index': 12106}, page_content='ארגון כדי לשלב ""בינה מלאכותית"" בהתנהלות של הארגון. הלימודים במגמה זו\nנועדה לענות על צרכי ארגונים רבים בתחום זה.\nמגמה זו פותחה במיוחד לתלמידי הנדסת מערכות מידע ותלווה במספר גדול של דוגמאות מעשיות\nבתחום לימודיהם. כידוע המוטיבציה של הסטודנטים להבין את המושג'), Document(id='a83489a3-0caf-475d-b7d6-eb63af0a1c04', metadata={'source': '372-2025.pdf', 'start_index': -1}, page_content='�וע המוטיבציה של הסטודנטים להבין את המושגים התיאורטיים המופשטים\nמתחזקת מאד כאשר הם נחשפים ליישומים בתחום. המגמה נערכה בצורה כזו שתביא לאיזון בין שלושת\nההיבטים הבאים: שיטות חישוביות, טכנולוגיות מידע, והיבטי ניהול .\nבמסגרת פרויקט הגמר, הסטודנטים יתמודדו עם ב')]"
3,איזו תרומה מספקת התוכנית לתעשיות בדרום הארץ?,[]
4,איזה כישורים מפתחת התוכנית כדי להכשיר מהנדסי מערכות כמנהיגים טכנולוגיים?,"[Document(id='4fba7798-bde3-423c-8af0-d58beb8e5478', metadata={'source': '361-2025.pdf', 'start_index': -1}, page_content='�\nהבסיסי הוא חיוני כדי לאפשר למהנדס להתמודד עם קצב השינויים ועם הפיתוח המואץ והתמידי הקיימים\nבתחומי ההיי-טק השונים. מעבר לכך, ביה""ס מכשיר מהנדסים בעלי מיומנויות מעמיקות בתחומי התמקצעות\nשונים שהן הכרחיות למהנדס הנקרא להתמודד עם אתגרים מקצועיים בפית'), Document(id='2619e238-567f-4edb-b882-92ee809632b1', metadata={'source': '361-2025.pdf', 'start_index': -1}, page_content='�ה במערכות זמן-אמת. הלימודים מקנים לסטודנט את הידע והכלים הנחוצים להשתלב בפיתוח של\nדור המחשבים הבא ואת היכולת לתכנון מחשבים מהירים, יעילים ומתוחכמים יותר. תכנית הלימודים\nלתואר שני עונה על הצרכים של תעשיית ההיי-טק המודרנית הדורשת מהנדסים המתמחים בתחום\nהמ�'), Document(id='eefa0a74-96bc-450b-8266-a999649e0dd6', metadata={'source': '383-2025.pdf', 'start_index': 2277}, page_content='גי וחלק מהנהלת\nהפרויקט. הוא מוביל את הפתרונות הנדסיים טכנולוגיים ומשתתף בתכנון ובבקרה של הפרויקט. לפיכך, התוכנית\nתצייד את המשתתפים בתוכנית בכלים שיאפשרו להם בין השאר:\n• להעביר את דרישות השוק לתוכנית עבודה לפי מפרטים\n• להבין את שיקולי התוכן של כל אחד ממכלו')]"
5,כיצד התוכנית משלבת בין תאוריה למעשה בלימודי הנדסת מערכות?,"[Document(id='8b1ff9a1-eea4-4396-80f7-e3966732533c', metadata={'source': '362-2025.pdf', 'start_index': -1}, page_content='�ת\nמכונות ובהנדסת חשמל ומחשבים על מנת שיוכלו להתמודד בהצלחה עם אתגרי מחקר ופיתוח מודרניים ועם\nהביקוש הגובר בתעשייה.\nהתוכנית משלבת באופן הדוק בין הנדסת חשמל ומחשבים ובין הנדסת מכונות לכל אורך הלימודים. התוכנית היא\nבת חמש שנים ומציבה אתגר ועומס לימודים')]"
6,מה תפקידו של מהנדס מערכת בפרויקט טכנולוגי מורכב על פי התוכנית?,"[Document(id='6f092779-f0da-4cb8-aee9-127b0b650908', metadata={'source': '374-2025.pdf', 'start_index': -1}, page_content='�רנית תוך שימוש באלמנטים סופיים ובמחשב. ממהנדס.ת המבנים נדרשת\nיכולת המאפשרת לו.ה לבצע סינתזה של כל הידע שרכש.ה כדי לתכנן בפועל מבנים שונים .\nתחום ניהול הבנייה מבוסס על אינטראקציה של מערכות שירות שונות, הדורשת ידע בסיסי בהנדסת מבנים\nוידע בניהול הבנייה. ה�'), Document(id='98165f62-2819-466c-b613-85b315146ba4', metadata={'source': '374-2025.pdf', 'start_index': 7375}, page_content='ת\nניהול הבנייה מכשירים את בוגרי.ות מסלול זה לראייה ניהולית-הנדסית רחבה של פרויקט בנייה. הכוללים\nהנדסת ביצוע, ניהול איכות וניהול פרויקט בניה בהיבט תקציבי, חוזי ועוד.\nלאור הצורך לתת מענה למוכנות מבנים ותשתיות אזרחיות לאירועים חריגים דוגמת אסונות טבע כרעידות אדמ')]"
7,כיצד מוגדרות תחומי האחריות של מהנדס מערכת במסגרת התוכנית?,"[Document(id='9299a138-690e-4b3f-b3f0-1110e5c98544', metadata={'source': '361-2025.pdf', 'start_index': -1}, page_content='�ופשת לימודים איננה נכללת בחישוב\nתקופת הלימוד .\n3. קורסים\nמטרת קורסי הלימוד היא הרחבת ידע והתמחות בתחום מסוים מבין התחומים המוצעים על ידי\nהחוג. פירוט מסלולי ההתמחות השונים מופיע בטבלת תחומי התמחות להלן. יש להשלים את\nהדרישות של תחום אחד לפחות. הדרישות הן כדל')]"
8,מדוע יש דגש על ראייה כוללת של בעיות בלימודי הנדסת מערכות?,"[Document(id='bfc06590-e2ec-47dc-a146-9f30dd6b7d0c', metadata={'source': '362-2025.pdf', 'start_index': -1}, page_content='�וף הפעולה בין חוקרים משני התחומים הולך וגובר בחקר תופעות כגון חומרים\nמורכבים, תכונות מכאניות וחשמליות של חומרים, תהליכי ייצור ועוד. מטרת התוכנית היא להכשיר מהנדסים\nבשני התחומים ולהעניק להם רקע איתן בהנדסת מכונות וחומרים על מנת שיוכלו להתמודד בהצלחה ע'), Document(id='97cba0f4-a1a8-48a5-9484-85b1b2878736', metadata={'source': '361-2025.pdf', 'start_index': -1}, page_content='יחשוב מודרניות ושל ציוד הנשלט על\nידי מחשב. הנדסת מחשבים, באופן מסורתי, נתפס כשילוב של מדעי המחשב ושל הנדסת חשמל. על כן, יסודות\nהנדסת מחשבים הן תאוריה של מדעי המחשב, מתמטיקה, והנדסת חשמל. יסודות אלו באים לידי שימוש בפיתרון\nשל בעיות העולות בתכנון חומרה, תו�')]"
9,כיצד התוכנית מבטיחה שהמערכת תענה לצרכי הלקוח לאורך מחזור חייה?,[]
