,question,relevant_documents_from_dense_retrieval
31,אילו תחומי ידע נכללים בתכנית להנדסת תוכנה?,"[Document(id='e15bd100-fbbe-45a9-a4a5-73075ff9cb14', metadata={'source': '361-2025.pdf', 'start_index': 12743}, page_content='מטיקה, פיזיקה, מדעי המחשב, הנדסת\nחשמל, והנדסת מחשבים. החל מן השנה השניה הסטודנטים בתכנית להנדסת מערכות תקשורת מתמקדים בקורסים\nמתקדמים בנושאי מחשוב, תקשורת, ורשתות, במקביל להעמקה בתחומי בסיס מתמטיים הדרושים בתחומים\nמתקדמים אלו. תכנית הלימודים מאפשרת')]"
32,כיצד מחולקים לימודי הנדסת תוכנה בהתאם לתכנית הצבירה?,[]
33,מדוע כוללת התכנית דגש על קורסי מתמטיקה וסטטיסטיקה?,[]
34,כיצד התוכנית משלבת פרויקט שנתי לתואר ראשון?,[]
35,מה ההיקף הנדרש של נקודות זכות להשלמת התואר הראשון בהנדסת תוכנה?,"[Document(id='ddb3cf80-cb80-49ad-81d4-726a948f1156', metadata={'source': '362-2025.pdf', 'start_index': 61463}, page_content='ורסים המרכיבים את המסלול לבקרה ומכטרוניקה בלימודים\nלקראת תואר ראשון במחלקה להנדסת מכונות באוניברסיטת בן-גוריון בנגב. לכל מועמד תקבע תוכנית השלמה\nבהתאם לרקע הקודם שלו. קורסי ההשלמה אינם מזכים את הסטודנטים בנק""ז לתואר שני.\nב. קורסי חובה\nאשכול 1 – כללי\n'), Document(id='0d574079-8ca3-4936-ba9c-94162bc7112e', metadata={'source': '361-2025.pdf', 'start_index': -1}, page_content='� רגיל\nלתואר ראשון, בתנאי שטרם השלים את הדרישות המאפשרות לו להיות זכאי לתואר ראשון\nבמסגרת תוכנית מית""ר להנדסה. במקרה זה יתקיימו הכללים הבאים:\n1. הנקודות שנצברו לתואר שני יוכרו כקורסי בחירה לתואר ראשון.\n2. חייב להשלים את סך הנק""ז כהנדרש כמקובל בתואר ראשון.\n118\n 3. ע')]"
36,מדוע חשוב לשלב קורסים באנגלית בתכנית להנדסת תוכנה?,[]
37,"איך מסלול מית""ר מצטייני תואר ראשון בהנדסת תוכנה משולב בתכנית?",[]
38,מהו המבנה הכללי של קורסי החובה והבחירה בתוכנית?,[]
39,כיצד מאפשרת התכנית גמישות בקצב ההתקדמות בלימודי הנדסת תוכנה?,[]
40,מהו הבסיס הידע העיקרי של התכנית בהנדסת מערכות מידע?,"[Document(id='d664de0f-7f11-43b3-8690-c90261f9dc20', metadata={'source': '372-2025.pdf', 'start_index': -1}, page_content='�זיות של פיתוח מערכות וניתוח נתונים. לאור זאת פיתחה המחלקה שתי תוכניות לימוד\nשמטרתן להקנות מיומנויות אלו.\nתכנית הלימודים להנדסת מערכות מידע מספקת לתלמידים עקרונות וטכניקות המהוות בסיס ידע עיקרי\nלאנשי מקצוע במגוון תפקידים במערכות מידע ממוחשבות בסביבה'), Document(id='6968e237-d5e2-4b11-b15f-65a71a63aae2', metadata={'source': '372-2025.pdf', 'start_index': -1}, page_content='�ריית מידע בארץ ובעולם .\nתכנית הלימודים מספקת לתלמידים עקרונות וטכניקות המהווים בסיס ידע עיקרי לאנשי מקצוע במגוון\nתפקידים של מהנדסי נתונים בסביבה טכנולוגית מתקדמת. הלימודים בתחום המקצועי של הנדסת נתונים\nכוללים נושאים יסודיים בתחום כגון: מתימטיקה, �'), Document(id='eb1abd6d-5630-4c1e-a1c7-f76908c2cd77', metadata={'source': '361-2025.pdf', 'start_index': 11888}, page_content='כנולוגיות, מצריך\nהכרות מעמיקה עם שלל מרכיביו, וידע מעמיק בתחום ידע שהוא בין-תחומי בעיקרו, ומשלב נושאים בהנדסת חשמל,\nהנדסת מחשבים, מדעי המחשב, חקר ביצועים, וטכנולוגיות מידע. היקף הידע והתשתית המחקרית בתחום זה הם\nהעומדים בבסיס תכנית הלימודים לתואר בוגר במ')]"
