,question,relevant_documents_from_dense_retrieval
31,אילו תחומי ידע נכללים בתכנית להנדסת תוכנה?,"[Document(id='63e8461b-de23-4caf-8547-1a3f039fe7e0', metadata={'source': '361-2025.pdf', 'start_index': 16355}, page_content=' מדעי המחשב, כגון: מבני נתונים, ומבוא לתכנות מערכות. מקצועות אלה מקנים\nלתלמיד רקע בסיסי במכלול הנושאים המרכיבים את הנדסת מחשבים.\nהחל מהסמסטר החמישי של לימודי ההסמכה לרשות התלמיד עומד מבחר מגוון של קורסי בחירה וליבה. הבחירה\nנעשית בין קורסים מתקדמים באלגו'), Document(id='42aed290-c8ed-4a4f-9553-9d4378763ee7', metadata={'source': '361-2025.pdf', 'start_index': -1}, page_content='�שענת על היכולת להכשיר\nמהנדסים בעלי ראייה נרחבת בתחומים אלו.\nתכנית הלימודים לתואר הראשון ).B.Sc( בהנדסת מערכות תקשורת כוללת שנה ראשונה של לימודי יסוד המשותפת\nלכלל תלמידי ביה""ס להנדסת חשמל ומחשבים, ועיקרה קורסי יסוד במתמטיקה, פיזיקה, מדעי המחשב, הנדסת\nחשמל, וה�')]"
32,כיצד מחולקים לימודי הנדסת תוכנה בהתאם לתכנית הצבירה?,"[Document(id='9e856112-e74b-45d1-9522-a8d9998166d9', metadata={'source': '365-2025.pdf', 'start_index': -1}, page_content='ודות יצברו בלימודי קורסי מוסמכים, כאשר מתוכן 3 נקודות יינתנו\nעל בסיס קורס עבודה סמינריונית .\n(לידיעה, לא ניתן להתקבל ללימודי דוקטורט, ללא תזה. יש לבדוק מול בית ספר קרייטמן את\nהאפשרות לבצע השלמת תזה).\n• מסלול לימודי צבירה – מסלול זה נועד לתלמידים המעוניינים ללמוד מ�')]"
33,מדוע כוללת התכנית דגש על קורסי מתמטיקה וסטטיסטיקה?,[]
34,כיצד התוכנית משלבת פרויקט שנתי לתואר ראשון?,[]
35,מה ההיקף הנדרש של נקודות זכות להשלמת התואר הראשון בהנדסת תוכנה?,"[Document(id='2089bce4-2bde-489c-8bf2-ceeeae0ab39f', metadata={'source': '361-2025.pdf', 'start_index': 39960}, page_content='תמחות אחד נוסף בהנדסת חשמל\nומחשבים .\nבוגרי התכנית יוכלו להמשיך לתואר שני הן במתמטיקה והן בהנדסת חשמל ומחשבים. המשך הלימודים ללא השלמות\nלתואר שני במתמטיקה יהיה מותנה בכך שיקחו את המקסימום של קורסי הבחירה האפשריים במתמטיקה .\nהתכנית מיועדת לסטודנטים אשר מתענ')]"
36,מדוע חשוב לשלב קורסים באנגלית בתכנית להנדסת תוכנה?,"[Document(id='61297415-470a-4bbb-bff2-f7f3072cb7a0', metadata={'source': '373-2025.pdf', 'start_index': 15601}, page_content='יד שלא השלים את הקורסים העודפים, אך השלים תכנית לימודים מלאה של הנדסת תוכנה ועמד ביתר\nהתנאים של המגמה, יוכל לקבל תואר ראשון בהנדסת תוכנה במגמת פסגות.\n13\n '), Document(id='b9cad8c7-7855-4915-b410-0433ea411472', metadata={'source': '372-2025.pdf', 'start_index': 12106}, page_content='ארגון כדי לשלב ""בינה מלאכותית"" בהתנהלות של הארגון. הלימודים במגמה זו\nנועדה לענות על צרכי ארגונים רבים בתחום זה.\nמגמה זו פותחה במיוחד לתלמידי הנדסת מערכות מידע ותלווה במספר גדול של דוגמאות מעשיות\nבתחום לימודיהם. כידוע המוטיבציה של הסטודנטים להבין את המושג'), Document(id='2089bce4-2bde-489c-8bf2-ceeeae0ab39f', metadata={'source': '361-2025.pdf', 'start_index': 39960}, page_content='תמחות אחד נוסף בהנדסת חשמל\nומחשבים .\nבוגרי התכנית יוכלו להמשיך לתואר שני הן במתמטיקה והן בהנדסת חשמל ומחשבים. המשך הלימודים ללא השלמות\nלתואר שני במתמטיקה יהיה מותנה בכך שיקחו את המקסימום של קורסי הבחירה האפשריים במתמטיקה .\nהתכנית מיועדת לסטודנטים אשר מתענ'), Document(id='f3f66569-92b5-43f7-9c88-cc45dcad3cda', metadata={'source': '373-2025.pdf', 'start_index': -1}, page_content='�גמת מצוינות להנדסת תוכנה במסגרת תכנית ""פסגות""\nמגמת ""פסגות "" מיועדת לסטודנטים מצטיינים של העתודה האקדמית. המגמה כוללת לימודים אינטנסיביים\nומאתגרים ומאפשרת לסיים תוך ארבע שנים את הלימודים לתואר ראשון בהנדסת תוכנה וכן את קורסי תואר\nשני במחלקה למדעי')]"
37,"איך מסלול מית""ר מצטייני תואר ראשון בהנדסת תוכנה משולב בתכנית?","[Document(id='f5554032-59fb-4c9a-8f45-6e1fa494f8c5', metadata={'source': '364-2025.pdf', 'start_index': 60737}, page_content='קה להנדסת תעשייה וניהול מעודדת תלמידי תואר ראשון מצטיינים, העומדים בפני סיום השנה השלישית, להצטרף\nלמסלול מית""ר )מצטייני תואר ראשון( וקש""ת )קיצור ושילוב תארים( המאפש רים לשלב בין לימודי התואר הראשון ולימודי\nהתואר השני. נספח זה מציג מידע על מסלולים אלו, נהליהם ותנ')]"
38,מהו המבנה הכללי של קורסי החובה והבחירה בתוכנית?,[]
39,כיצד מאפשרת התכנית גמישות בקצב ההתקדמות בלימודי הנדסת תוכנה?,"[Document(id='f3f66569-92b5-43f7-9c88-cc45dcad3cda', metadata={'source': '373-2025.pdf', 'start_index': -1}, page_content='�גמת מצוינות להנדסת תוכנה במסגרת תכנית ""פסגות""\nמגמת ""פסגות "" מיועדת לסטודנטים מצטיינים של העתודה האקדמית. המגמה כוללת לימודים אינטנסיביים\nומאתגרים ומאפשרת לסיים תוך ארבע שנים את הלימודים לתואר ראשון בהנדסת תוכנה וכן את קורסי תואר\nשני במחלקה למדעי'), Document(id='539625bf-d803-436e-ad32-d6bf62ee65b6', metadata={'source': '373-2025.pdf', 'start_index': -1}, page_content='�ה מעודכנת מתפרסמת בכל סמסטר\nבאתר התכנית!\nעל התלמיד לקחת קורסי בחירה במדעי המחשב בהיקף של 10 נק""ז.\nניתן, באישור היועץ ומורה הקורס, לבחור בכל מקצוע בחירה לתואר שני במגמת מדעי מחשב, בתנאי\nשהסטודנט עומד בדרישות הקדם.\nקורסי בחירה בהנדסת מערכות תוכ'), Document(id='7161c410-3bf3-4768-833c-91c6b049b0ee', metadata={'source': '372-2025.pdf', 'start_index': -1}, page_content='�טטיסטיקה ועוד. החל מהשנה\nהשנייה התכנית כוללת מגוון רחב של קורסים בתחום של הנדסת מערכות מידע ותוכנה. השנה הרביעית כוללת\nמגוון של קורסי בחירה במערכות מידע וכן פרויקט מסכם שנתי שבו נדרש התלמיד לבצע עבודה מקיפה\nואינטגרטיבית. המחלקה מעודדת את הסטוד�'), Document(id='421569aa-e962-4af1-b3b4-b0094eb23155', metadata={'source': '365-2025.pdf', 'start_index': -1}, page_content='�ע איתן בהנדסת מכונות וחומרים על מנת שיוכלו להתמודד בהצלחה עם אתגרי\nמחקר ופיתוח מודרניים ועם הביקוש הגובר בתעשייה.\nהתוכנית משלבת באופן הדוק בין הנדסת חומרים והנדסת מכונות לכל אורך הלימודים. התוכנית היא בת ארבע\nוחצי שנים ומציבה אתגר ועומס לימודים �')]"
40,מהו הבסיס הידע העיקרי של התכנית בהנדסת מערכות מידע?,"[Document(id='31060e60-b7f4-41a9-90b7-58721d25e650', metadata={'source': '362-2025.pdf', 'start_index': -1}, page_content='� לתפקידי ניהול פרויקטים וניהול כללי בתעשייה.\nמבנה תכנית הלימודים\nתכנית הלימודים לתואר ראשון (.B.Sc) מקנה לבוגרים את התואר מהנדס. משך הלימודים המקובל לתואר ראשון\nהוא ארבע שנים. הלימודים משלבים הרצאות, תרגולים, מעבדות ופרויקטים. התכנית מספקת בסיס רחב המקנה\nלתלמיד'), Document(id='eb1abd6d-5630-4c1e-a1c7-f76908c2cd77', metadata={'source': '361-2025.pdf', 'start_index': 11888}, page_content='כנולוגיות, מצריך\nהכרות מעמיקה עם שלל מרכיביו, וידע מעמיק בתחום ידע שהוא בין-תחומי בעיקרו, ומשלב נושאים בהנדסת חשמל,\nהנדסת מחשבים, מדעי המחשב, חקר ביצועים, וטכנולוגיות מידע. היקף הידע והתשתית המחקרית בתחום זה הם\nהעומדים בבסיס תכנית הלימודים לתואר בוגר במ'), Document(id='18379726-53d6-4496-88a3-a65bfe22eec7', metadata={'source': '364-2025.pdf', 'start_index': 5558}, page_content='ישות גבוהות ושילוב תכנים חדשניים המשקפים את התפתחותו המהירה של המקצוע .\n2\n תכניות הלימוד במחלקה\nמידע מפורט נוסף על תכניות הלימודים השונות במחלקה מוצג בהמשך מסמך זה .\nלימודי התואר הראשון\nתוכנית הלימודים הארבע -שנתית לתואר ראשון ).B.Sc( בהנדסת תעשייה וניהול מיוע')]"
