,question,relevant_documents_from_dense_retrieval
93,"כיצד מתמודדת התכנית עם תחום אנרגיה, מים וטכנולוגיות מתקדמות?","[Document(id='0459ecdb-cb2d-4971-a5ed-7feaa73fbf9e', metadata={'source': '374-2025.pdf', 'start_index': -1}, page_content='�ם הבנה והעמקה בנושאים של היערכות לאירועי קיצון סביבתיים, הנדסת תשתיות\nמים וניקוז, בנייה ירוקה ומכוונת אקלים, ובקרת זיהום אוויר וגזי חממה בסביבה הבנויה. מסלול זה מהווה\nגם הכנה לפתיחת תואר ראשון בהנדסה סביבתית כפי שמתוכנן במחלקה ובפקולטה.\nבמסגרת מיקוד זה �')]"
94,מדוע חשוב רקע בביוכימיה במסלול ביו-חומרים של הנדסה כימית?,"[Document(id='814282da-2cd8-499c-af0c-2200aee48251', metadata={'source': '363-2025.pdf', 'start_index': -1}, page_content='מוצרים מוגמרים והן כחומרי בסיס לתעשיות אחרות.\nהלימודים במחלקה לקראת תואר בוגר )B.Sc( בהנדסה-כימית נמשכים ארבע שנים, במהלכן יש לצבור\n162 נקודות זכות לתואר. תכנית הלימודים משלבת בין מקצועות בסיסיים של מדעי הטבע ומקצועות\nמתקדמים בהנדסה כימית. תחומי המתמטיקה, כי�'), Document(id='fb94d102-a0f0-48c6-8928-e1bd46cbfa72', metadata={'source': '363-2025.pdf', 'start_index': 0}, page_content='המחלקה להנדסה כימית\nרקע כללי 2\nחברי הסגל האקדמי 4\nתכנית לימודים לתואר ראשון לפי סמסטרים 5\nמסלול לתואר כפול - כימיה והנדסה כימית: ננוטכנולוגיה 15\nלימודים לתואר שני 22\n1\n רקע כללי\nתכנית הלימודים במחלקה להנדסה כימית מקנה לבוגריה הכשרה בסיסית רחבה בתחום הנדסת\n'), Document(id='bf36faac-cf9d-4d3a-95a1-9dbc9360ece4', metadata={'source': '374-2025.pdf', 'start_index': -1}, page_content='כנית לימודים לתואר שני בהנדסה סביבתית\nהמחלקה להנדסה אזרחית וסביבתית מציעה תוכנית לתואר שני בהנדסה סביבתית המיועדת לבוגרי.ות תואר\nראשון בהנדסה במגוון תחומים )כגון הנדסת בניין, הנדסה כימית, הנדסת ביוטכנולוגיה, הנדסת מכונות,\nהנדסת חומרים ועוד(, �'), Document(id='a9a409c7-bbd0-4ad5-9fd6-edc681fb665c', metadata={'source': '383-2025.pdf', 'start_index': -1}, page_content='�נדסת מכונות הנדסת חשמל ואלקטרוניקה, הנדסה\nכימית, הנדסת מחשבים, הנדסת אלקטרואופטית, הנדסת גרעין והנדסה ביו-רפואית.\nעם זאת, התוכנית מתאימה גם לבוגרי מדעי הטבע המעוניינים לרכוש מיומנויות, יזמות טכנולוגית בתחומי הנדסת\nהמערכת.\nתנאי הקבלה:\n• ממו'), Document(id='a9d259ee-a386-4d65-a3ab-06f5b35b662a', metadata={'source': '367-2025.pdf', 'start_index': 12009}, page_content=' האנגלית. נא לבדוק עם מרצה/ת הקורס בתחילת השנה .\n9\n אשכול ביוחומרים, ביואלקטרוניקה והנדסת רקמות\nקורסי החובה באשכול (קבוצה 1): מעבדה בביוחומרים וביואלקטרוניקה, ביוחומרים, ביואלקטרוכימיה, מעבר חום\nוחומר 1 ומכניקה של תאים.\nקורסים מקבוצה 2: ביו סנסורים ומערכות מ')]"
95,מהן אפשרויות המחקר במסלול בדגש למחקר בהנדסה כימית?,"[Document(id='f3bf404b-a470-484c-a0fd-690793a02a06', metadata={'source': '372-2025.pdf', 'start_index': -1}, page_content='בוא לרפואה קלינית.\n• התמחות רב-תחומית ייחודית בישום מתודולוגיות חישוביות לתחומי הרפואה השונים.\nהמסלול לתואר שני ברפואה חישובית הינו מחקרי ומחייב הגשת תזה. המסלול משותף לפקולטה להנדסה\nוהפקולטה למדעי הבריאות.\nבדרך כלל יהיה לתלמיד מנחה מהמחלקה להנדסת מערכות תו�'), Document(id='de32122d-27dd-469f-a833-f1c2c25cd984', metadata={'source': '361-2025.pdf', 'start_index': 206021}, page_content='תע""י וועדת\nההוראה. תלמיד שעבר ממסלול ללא תזה למסלול עם תזה, לא יוכל לעבור בחזרה למסלול ללא\nתזה.\nתוכנית לימודים לתואר שני בהנדסת אלקטראופטיקה – לימודי\nצבירה\nרקע:\nמסלול ""לימודי הצבירה"" נועד לתלמידים המעוניינים ללמוד מספר קורסים לפני החלטה על כיווני המחקר א')]"
96,כיצד נוצרת נקודת המפגש בין כימיה להנדסה כימית בנושא ננוטכנולוגיה?,"[Document(id='875a488f-466f-4772-9cb2-14daadc8fb5c', metadata={'source': '361-2025.pdf', 'start_index': 8911}, page_content=' ועד לרמה לאומית תוך שילוב של אנרגיות מתחדשות. בנוסף מתקיים מחקר תאורטי עתידני המיועד\nלענות על בעיות ושאלות תיאורטיות שלאו דווקא קיים עבורן מימוש מיידי .\nהגישה המולטי-דיציפלנארית היא אחד המאפינים של התואר בהנדסת חשמל ומחשבים ומאפשרת גמישות\nמירבית בבחירת מקצוע. ה'), Document(id='037ec017-352c-41bc-99ce-e439f16504e0', metadata={'source': '362-2025.pdf', 'start_index': 17291}, page_content='36214754 דינמיקה ואוירודינמיקה של כלי טייס\nמסלול התמחות 4: מערכות תרמיות\nבמסלול זה נחשפים התלמידים לתחום האנרגיה, שהוא אחד התחומים הקלאסיים וגם האקטואליים ביותר\nבהנדסת מכונות. בהתאם לכך, המסלול מתבסס על הידע שנרכש בקורסי החובה, בעיקר בתרמודינמיקה\nומעבר חום, ומקנ'), Document(id='83fcc181-285c-4b18-93fb-daf4139ebd98', metadata={'source': '362-2025.pdf', 'start_index': 21486}, page_content='דסים, מדענים וחוקרים לעיסוק\nבנושאי אנרגיה גרעינית, תכנות כוח ועוד. ניתן להמשיך בלימודים מתקדמים במסגרת לימודי מוסמכים\nבהנדסת מכונות או במסגרת המחלקה להנדסה גרעינית.\nיש לבחור את הקורסים: פיזיקה של כורים גרעיניים, חומרים גרעיניים ונזקי קרינה, תרמו-הידראו')]"
97,אילו קורסי ליבה עוסקים בתרמודינמיקה וריאקטורים כימיים?,"[Document(id='c4b12417-b0ff-4998-add2-efe2a7311d8e', metadata={'source': '361-2025.pdf', 'start_index': -1}, page_content='�דרושים לאנליזה ולסינטזה של המערכות השונות שבהן מטפל מהנדס המחשבים. במשך לימודיו\nלומד התלמיד מספר מקצועות חובה בסיסיים בשטחי הנדסת חשמל: מעגלים אלקטרוניים, מבוא לעיבוד אותות ועוד .\nכמו כן, התלמיד נחשף לקורסי מדעי המחשב, כגון: מבני נתונים, ומבוא לתכ�')]"
98,מהו משך הלימודים ומספר נקודות הזכות הנדרש לתואר בוגר בהנדסה כימית?,"[Document(id='ddb3cf80-cb80-49ad-81d4-726a948f1156', metadata={'source': '362-2025.pdf', 'start_index': 61463}, page_content='ורסים המרכיבים את המסלול לבקרה ומכטרוניקה בלימודים\nלקראת תואר ראשון במחלקה להנדסת מכונות באוניברסיטת בן-גוריון בנגב. לכל מועמד תקבע תוכנית השלמה\nבהתאם לרקע הקודם שלו. קורסי ההשלמה אינם מזכים את הסטודנטים בנק""ז לתואר שני.\nב. קורסי חובה\nאשכול 1 – כללי\n'), Document(id='16556feb-6e02-4d13-b8d2-d954ad773483', metadata={'source': '361-2025.pdf', 'start_index': 191862}, page_content='ועד למועמדים שסיימו את לימודי התואר הראשון במדעים ).B.Sc( בהצטיינות באוניברסיטה\nמחקרית ומעוניינים להמשיך את לימודיהם לתואר שלישי. משך הלימודים במסגרת זו הואכ - 5 שנים.\nפרטים נוספים על המסלול ניתן למצוא באתר של בי""ס קרייטמן .\n125\n לימודי מוסמכים בחוג להנדסת אלקטרוא'), Document(id='2f203f7c-6f62-4140-8989-e47ee4a0a41f', metadata={'source': '361-2025.pdf', 'start_index': 45337}, page_content='הנדסת חשמל ומחשבים .\n31\n תוכנית לימודים לתואר ראשון בהנדסת מערכות תקשורת\nמבנה תכנית הלימודים בהנדסת מערכות תקשורת\nתכנית הלימודים לתואר בוגר בהנדסת מערכות תקשורת מחייבת לימוד בהיקף של 162 נקודות זכות )נק""ז ( בקבוצות\nהמקצועות כדלקמן, אשר מורכביםמ - 156 נק""ז ב')]"
99,כיצד משתלבת חשיבה ירוקה בעיצוב מוצרים ותהליכים כימיים?,"[Document(id='05c91f2a-eba8-4df9-9a53-f3cd7ef61b8c', metadata={'source': '378-2025.pdf', 'start_index': -1}, page_content='�יומסה(. מטרת התוכנית היא\nלתת לבוגריה מגוון כלים לבחירה, הפקה, פיקוח, ותפעול שו תף של אנרגיה ממקורות שונים. בנוסף, שמה התוכנית\nדגש על הנושא של חסכון אנרגטי וההתייעלות האנרגטית בבניה ובתעשייה ,תכן מרכזי אנרגיה ושילובים של אתגר\nהאנרגיה עם שני אתגרים גדו'), Document(id='bef71341-418d-4f3a-9c60-56126f35df7f', metadata={'source': '364-2025.pdf', 'start_index': 3653}, page_content=' ושיפור של מערכות ותהליכים בארגונים\nעל ידי שימוש בשיטות וכלים מדעיים. הנדסת תעשייה וניהול מתמקדת בשילוב בין אנשים לבין טכנולוגיה בהקשר הארגוני ,\nובשיפור היעילות והתפוקה בעזרת כלים הנדסיים, טכנולוגיים, ארגוניים, ניהוליים, כלכליים, חברתיים ופסיכולוגיים .\nאתגרי הע'), Document(id='5cdc014d-8a76-4b81-8766-bcdf553bdb10', metadata={'source': '378-2025.pdf', 'start_index': 925}, page_content='\nהתחבורה תעבור לשימושב דלקים שלא מכילים פחמן.\nתכנית הלימודים בהנדסת אנרגיה מכשירה את המהנדסים של מחר להתמודדות עם אתגרים קיימים וחדשים של\nשימוש במקורות אנרגיה מתכלים )פחם, נפט, גז, גרעין( ומתחדשים )שמש, מים, רוח, ביומסה(. מטרת התוכנית היא\nלתת לבוגריה מגוון')]"
100,מהו מקצוע הנדסת תעשייה וניהול וכיצד הוא מוגדר במסמך?,"[Document(id='3bf49e53-a5cd-4ec4-b620-4ce81496c058', metadata={'source': '361-2025.pdf', 'start_index': -1}, page_content='� יידע\nמעמיק, תאורטי ומעשי, ייחודי ובין-תחומי. הידע הזה נמצא במלואו, ובהיבטים רבים, בבית הספר להנדסת\nחשמל ומחשבים באוניברסיטת בן-גוריון. אנו פותחים לימודי מיקוד במערכות מאובטחות במסגרת תואר\nשני בהנדסת חשמל ומחשבים, המיועדים להכשרת מומחים בנושא. ההכשרה תכלו'), Document(id='1edf2272-0330-4b0b-a051-b6782f85fcf0', metadata={'source': '361-2025.pdf', 'start_index': -1}, page_content='�ת זהות\nבית הספר להנדסת חשמל ומחשבים הוא מסגרת ייחודית בנוף ההנדסה במדינת ישראל. בית הספר מאגד\nבמסגרתו מספר תכניות לימודים לתואר ראשון, כמו גם מספר תכניות לימודים לתארים מתקדמים )שני ושלישי(,\nהמספקים לסטודנטים רוחב יריעה, מגוון אפשרויות, והכרות נרחבת �'), Document(id='6f092779-f0da-4cb8-aee9-127b0b650908', metadata={'source': '374-2025.pdf', 'start_index': -1}, page_content='�רנית תוך שימוש באלמנטים סופיים ובמחשב. ממהנדס.ת המבנים נדרשת\nיכולת המאפשרת לו.ה לבצע סינתזה של כל הידע שרכש.ה כדי לתכנן בפועל מבנים שונים .\nתחום ניהול הבנייה מבוסס על אינטראקציה של מערכות שירות שונות, הדורשת ידע בסיסי בהנדסת מבנים\nוידע בניהול הבנייה. ה�')]"
101,מהם האתגרים המרכזיים שמולם ניצבים מהנדסי תעשייה וניהול בעולם המודרני?,"[Document(id='d7da88d8-b497-4623-b65b-645707b67bb1', metadata={'source': '372-2025.pdf', 'start_index': -1}, page_content='�תונים\nבינה עסקית הוא תחום העוסק בהפקת מידע וידע מתוך מקורות פנימיים וחיצוניים לארגון במטרה לתמוך\nולשפר את ההחלטות העסקיות בארגון. תחום זה הפך עם השנים לגורם מכריע בסביבה התחרותית\nומשמש את כל הרבדים בארגון, החל בהחלטות תפעוליות וכלה בשיפור התכנון ה'), Document(id='bef71341-418d-4f3a-9c60-56126f35df7f', metadata={'source': '364-2025.pdf', 'start_index': 3653}, page_content=' ושיפור של מערכות ותהליכים בארגונים\nעל ידי שימוש בשיטות וכלים מדעיים. הנדסת תעשייה וניהול מתמקדת בשילוב בין אנשים לבין טכנולוגיה בהקשר הארגוני ,\nובשיפור היעילות והתפוקה בעזרת כלים הנדסיים, טכנולוגיים, ארגוניים, ניהוליים, כלכליים, חברתיים ופסיכולוגיים .\nאתגרי הע'), Document(id='b3792e52-6e21-49dc-95dc-d0cf7591ef25', metadata={'source': '364-2025.pdf', 'start_index': -1}, page_content='�ניהול לנתח ולשפר את\nהמערכות בארגון ולשכלל את הכלים העומדים לרשות הארגון. התכונות הדרשות ממהנדסי תעשייה וניהול נגזרות\nמהאתגרים השונים איתם עליהם להתמודד: כושר תכנון והבנה הנדסית הנדרשים לפיתוח מערכות בקרה ושיפור של\nתהליכים, הבנה עמוקה של יכולות מערכות'), Document(id='4f6b5ae7-0db3-4bd4-987c-f3b7228e3d66', metadata={'source': '372-2025.pdf', 'start_index': -1}, page_content='�ועדו לענות על ביקוש\nרב מצד החברות העוסקות בכך במשק ומצד מערכת הביטחון לאנשי מקצוע שיידעו להתמודד עם איומים\nעל המרחב המקוון של מדינת ישראל ושל העולם העסקי. הקורסים במגמה נותנים כלים אלגוריתמים\nלהתמודדות עם איומים ומקנים הבנה בתחומים רלוונט יים ועו�')]"
102,מהם הכישורים הנדרשים ממהנדס תעשייה וניהול לפי הטקסט?,"[Document(id='55bde22e-bd08-44c3-b23e-dc576bfc7152', metadata={'source': '372-2025.pdf', 'start_index': 23223}, page_content='ינים לפי הפירוט\nהבא:\n1. תכנית מצטייני הנדסת מערכות מידע )ממד״ע( היא תכנית רב-שנתית, שתכליתה לטפח מצוינות\nבמסגרת לימודי התואר הראשון בהנדסת מערכות מידע. הקבלה לתוכנית היא דרך המחלקה לאחר\nהקבלה לאוניברסיטה.\n2. תנאי קבלה לתוכנית – יכולים להתקבל לתוכנית מ')]"
