,question,relevant_documents_from_dense_retrieval
93,"כיצד מתמודדת התכנית עם תחום אנרגיה, מים וטכנולוגיות מתקדמות?","[Document(id='df9c8b28-8958-457f-95f3-d43b3696d965', metadata={'source': '374-2025.pdf', 'start_index': -1}, page_content='ת השפעת פעילותם.ן על קידום הציוויליזציה.\nתוכנית הלימודים עוסקת במגוון תחומים הכוללים הנדסת מבנים ותשתיות, גיאומכניקה, חומרי בנייה, ניהול\nהבנייה, היערכות לאירועי קיצון, הנדסת מערכות מים, בנייה מכוונת אקלים, ובקרת זיהום אוויר. בפני בוגרי\nהתואר הראשון יעמדו �')]"
94,מדוע חשוב רקע בביוכימיה במסלול ביו-חומרים של הנדסה כימית?,"[Document(id='da8cdb44-fc5f-4d56-bcd9-dbb5c61f42d2', metadata={'source': '369-2025.pdf', 'start_index': 1002}, page_content='רבע שנות הלימוד לתואר מהנדס ביוטכנולוגיה מאפשרות לתלמידים ללמוד\nשילוב ייחודי של קורסים בסיסים במדעי ההנדסה, ביולוגיה, כימיה ופיסיקה ואחר-כך, קורסים מתקדמים\nבהנדסת ביוטכנולוגיה הכוללים: הנדסה גנטית,ביוראקטורים והפרדת חלבונים, תרביות תאים, כמו גם אתיקה\nומ'), Document(id='fb94d102-a0f0-48c6-8928-e1bd46cbfa72', metadata={'source': '363-2025.pdf', 'start_index': 0}, page_content='המחלקה להנדסה כימית\nרקע כללי 2\nחברי הסגל האקדמי 4\nתכנית לימודים לתואר ראשון לפי סמסטרים 5\nמסלול לתואר כפול - כימיה והנדסה כימית: ננוטכנולוגיה 15\nלימודים לתואר שני 22\n1\n רקע כללי\nתכנית הלימודים במחלקה להנדסה כימית מקנה לבוגריה הכשרה בסיסית רחבה בתחום הנדסת\n'), Document(id='bf36faac-cf9d-4d3a-95a1-9dbc9360ece4', metadata={'source': '374-2025.pdf', 'start_index': -1}, page_content='כנית לימודים לתואר שני בהנדסה סביבתית\nהמחלקה להנדסה אזרחית וסביבתית מציעה תוכנית לתואר שני בהנדסה סביבתית המיועדת לבוגרי.ות תואר\nראשון בהנדסה במגוון תחומים )כגון הנדסת בניין, הנדסה כימית, הנדסת ביוטכנולוגיה, הנדסת מכונות,\nהנדסת חומרים ועוד(, �'), Document(id='12ad0220-30bf-4141-8d13-d0b7e1dc55de', metadata={'source': '367-2025.pdf', 'start_index': -1}, page_content='אר ראשון.\n2 הקורס ניתן בשפה האנגלית. נא לבדוק עם מרצה/ת הקורס בתחילת השנה .\n10\n אשכול ביומכניקה ורובוטיקה\nקורסים מקבוצה 1: מעבדה בביומכניקה, חוזק חומרים להנדסה ביורפואית, מעבר חום וחומר 1 ומבוא לרובוטיקה\nויישומים להנדסה ביורפואית .\nקורסים מקבוצה 2: מכניקה של �'), Document(id='a9d259ee-a386-4d65-a3ab-06f5b35b662a', metadata={'source': '367-2025.pdf', 'start_index': 12009}, page_content=' האנגלית. נא לבדוק עם מרצה/ת הקורס בתחילת השנה .\n9\n אשכול ביוחומרים, ביואלקטרוניקה והנדסת רקמות\nקורסי החובה באשכול (קבוצה 1): מעבדה בביוחומרים וביואלקטרוניקה, ביוחומרים, ביואלקטרוכימיה, מעבר חום\nוחומר 1 ומכניקה של תאים.\nקורסים מקבוצה 2: ביו סנסורים ומערכות מ')]"
95,מהן אפשרויות המחקר במסלול בדגש למחקר בהנדסה כימית?,"[Document(id='93407c37-f3df-4123-9ab9-4b3f0529b040', metadata={'source': '367-2025.pdf', 'start_index': 20627}, page_content=' וביקורתית ולהצמחת דור חדש של חוקרים. קיימות במחלקה אפשרויות מגוונות להשתלבות ועיסוק\nבמחקר במסגרת לימודי המוסמכים.\nלימודי התואר השני בהנדסה ביורפואית מיועדים להעמיק את הידע ההנדסי והרפואי, לאפשר לתלמידים/ות\nלהגדיר בעיה מחקרית ולבצע עבודת מחקר מקורית בהנח'), Document(id='ddb3cf80-cb80-49ad-81d4-726a948f1156', metadata={'source': '362-2025.pdf', 'start_index': 61463}, page_content='ורסים המרכיבים את המסלול לבקרה ומכטרוניקה בלימודים\nלקראת תואר ראשון במחלקה להנדסת מכונות באוניברסיטת בן-גוריון בנגב. לכל מועמד תקבע תוכנית השלמה\nבהתאם לרקע הקודם שלו. קורסי ההשלמה אינם מזכים את הסטודנטים בנק""ז לתואר שני.\nב. קורסי חובה\nאשכול 1 – כללי\n')]"
96,כיצד נוצרת נקודת המפגש בין כימיה להנדסה כימית בנושא ננוטכנולוגיה?,"[Document(id='2faab980-c23a-4c34-be7d-5d44adaee7e8', metadata={'source': '365-2025.pdf', 'start_index': -1}, page_content='רחבים. כתוצאה מכך שיתוף הפעולה בין חוקרים משני התחומים הולך וגובר בחקר תופעות כגון חומרים\nמורכבים, תכונות מכאניות וחשמליות של חומרים, תהליכי ייצור ועוד. מטרת התוכנית היא להכשיר מהנדסים\nבשני התחומים ולהעניק להם רקע איתן בהנדסת מכונות וחומרים על מנת שיו�'), Document(id='bc53ed47-1f92-495a-9e82-330bbe4afe41', metadata={'source': '362-2025.pdf', 'start_index': -1}, page_content='רים קרמיים\n36513491 בחירת חומרים\nמסלול התמחות 9: אנרגיה גרעינית\nמסלול אנרגיה גרעינית הינו מסלול התמחות משותף למחלקה להנדסת מכונות ולמחלקה להנדסה גרעינית.\nהמסלול הוכן על מנת לענות לצורך עדכני בישראל ובעולם להכשרת מהנדסים, מדענים וחוקרים לעיסוק\nבנושאי אנר�'), Document(id='037ec017-352c-41bc-99ce-e439f16504e0', metadata={'source': '362-2025.pdf', 'start_index': 17291}, page_content='36214754 דינמיקה ואוירודינמיקה של כלי טייס\nמסלול התמחות 4: מערכות תרמיות\nבמסלול זה נחשפים התלמידים לתחום האנרגיה, שהוא אחד התחומים הקלאסיים וגם האקטואליים ביותר\nבהנדסת מכונות. בהתאם לכך, המסלול מתבסס על הידע שנרכש בקורסי החובה, בעיקר בתרמודינמיקה\nומעבר חום, ומקנ')]"
97,אילו קורסי ליבה עוסקים בתרמודינמיקה וריאקטורים כימיים?,[]
98,מהו משך הלימודים ומספר נקודות הזכות הנדרש לתואר בוגר בהנדסה כימית?,"[Document(id='ddb3cf80-cb80-49ad-81d4-726a948f1156', metadata={'source': '362-2025.pdf', 'start_index': 61463}, page_content='ורסים המרכיבים את המסלול לבקרה ומכטרוניקה בלימודים\nלקראת תואר ראשון במחלקה להנדסת מכונות באוניברסיטת בן-גוריון בנגב. לכל מועמד תקבע תוכנית השלמה\nבהתאם לרקע הקודם שלו. קורסי ההשלמה אינם מזכים את הסטודנטים בנק""ז לתואר שני.\nב. קורסי חובה\nאשכול 1 – כללי\n')]"
99,כיצד משתלבת חשיבה ירוקה בעיצוב מוצרים ותהליכים כימיים?,"[Document(id='05c91f2a-eba8-4df9-9a53-f3cd7ef61b8c', metadata={'source': '378-2025.pdf', 'start_index': -1}, page_content='�יומסה(. מטרת התוכנית היא\nלתת לבוגריה מגוון כלים לבחירה, הפקה, פיקוח, ותפעול שו תף של אנרגיה ממקורות שונים. בנוסף, שמה התוכנית\nדגש על הנושא של חסכון אנרגטי וההתייעלות האנרגטית בבניה ובתעשייה ,תכן מרכזי אנרגיה ושילובים של אתגר\nהאנרגיה עם שני אתגרים גדו'), Document(id='bdc3c62f-7772-45ca-ae04-a300330efb03', metadata={'source': '374-2025.pdf', 'start_index': 4384}, page_content='פעלה, בטיחות וקיימות של הסביבה הבנויה וכי חובה לשלבם תחת מסגרת אקדמית מתכללת. בניינים,\nמתקנים בנויים ותשתיות הנדסיות קשורים בשיקולים סביבתיים ומשפיעים על הסביבה הפיסית ועל\nהמשתמשים.ות בהם החל משלב הקמתם, לאורך חיי השירות ועד סיום מחזור חייהם התפקודי. זיקה זו\nמת'), Document(id='5cdc014d-8a76-4b81-8766-bcdf553bdb10', metadata={'source': '378-2025.pdf', 'start_index': 925}, page_content='\nהתחבורה תעבור לשימושב דלקים שלא מכילים פחמן.\nתכנית הלימודים בהנדסת אנרגיה מכשירה את המהנדסים של מחר להתמודדות עם אתגרים קיימים וחדשים של\nשימוש במקורות אנרגיה מתכלים )פחם, נפט, גז, גרעין( ומתחדשים )שמש, מים, רוח, ביומסה(. מטרת התוכנית היא\nלתת לבוגריה מגוון')]"
100,מהו מקצוע הנדסת תעשייה וניהול וכיצד הוא מוגדר במסמך?,[]
101,מהם האתגרים המרכזיים שמולם ניצבים מהנדסי תעשייה וניהול בעולם המודרני?,[]
102,מהם הכישורים הנדרשים ממהנדס תעשייה וניהול לפי הטקסט?,[]
