,question,relevant_documents_from_dense_retrieval
31,אילו תחומי ידע נכללים בתכנית להנדסת תוכנה?,"[Document(id='132534c3-c27a-4bb4-8a88-f26ba3fda7d1', metadata={'source': '374-2025.pdf', 'start_index': -1}, page_content='אר ראשון – הנדסת בניין\nתוכנית הלימודים של לימודי הסמכה של מהנדס.ת הבניין באוניברסיטת בן-גוריון בנגב בנויה ממקצועות מדעיים\nבסיסיים במתמטיקה, פיזיקה, כימיה ומחשוב, הניתנים על ידי הפקולטה למדעי הטבע, ושאחריהם נלמדים\nמקצועות האנליזה והתכן. המקצועות בה�')]"
32,כיצד מחולקים לימודי הנדסת תוכנה בהתאם לתכנית הצבירה?,"[Document(id='9e856112-e74b-45d1-9522-a8d9998166d9', metadata={'source': '365-2025.pdf', 'start_index': -1}, page_content='ודות יצברו בלימודי קורסי מוסמכים, כאשר מתוכן 3 נקודות יינתנו\nעל בסיס קורס עבודה סמינריונית .\n(לידיעה, לא ניתן להתקבל ללימודי דוקטורט, ללא תזה. יש לבדוק מול בית ספר קרייטמן את\nהאפשרות לבצע השלמת תזה).\n• מסלול לימודי צבירה – מסלול זה נועד לתלמידים המעוניינים ללמוד מ�')]"
33,מדוע כוללת התכנית דגש על קורסי מתמטיקה וסטטיסטיקה?,[]
34,כיצד התוכנית משלבת פרויקט שנתי לתואר ראשון?,"[Document(id='54d8c072-47da-4826-a504-528149421e36', metadata={'source': '364-2025.pdf', 'start_index': -1}, page_content='�באלו תנאים. תלמיד נטול מנחה בעת\nהייעוץ של הסמסטר השני ללימודיו כתלמיד ""מן המניין"", יוכל להמשיך את לימודיו במסלול ללא עבודת גמר )תזה(\nבכפוף לאישור ועדת ההוראה המחלקתית .\nמסלול ללא עבודת גמר מחקרית: מסלולז ה מאפשר לתלמיד לקבל תואר שני ללא מעורבות בהליך מחקרי רחב היק�')]"
35,מה ההיקף הנדרש של נקודות זכות להשלמת התואר הראשון בהנדסת תוכנה?,"[Document(id='adef9407-7298-476d-84f9-220e04eaf1ca', metadata={'source': '372-2025.pdf', 'start_index': -1}, page_content='�וון בתעשייה או\nבצבא. התנאים שתוארו לעיל הם תנאי סף להרשמה במקרה השכיח; וועדת הקבלה של התואר רשאית לדרוש\nעמידה בתנאים נוספים, כגון מדרג המועמד ביחס לבוגרים אחרים שלמדו לאותו תואר, ניסיון מקצועי של\nהמועמד ועוד.\nא. מבנה הלימודים :\nלימודי התואר השני באבטחת המרח')]"
36,מדוע חשוב לשלב קורסים באנגלית בתכנית להנדסת תוכנה?,"[Document(id='debdd0bf-5e54-4672-9030-83b30abfbbe6', metadata={'source': '361-2025.pdf', 'start_index': -1}, page_content='�יה הנדסית בצורה מודרכת ומונחית .\nהחל משנה""ל תשפ""ב קיימת חובה ללמוד שני קורסים לתואר ראשון באנגלית.\n7\n מבנה תוכנית הלימודים לתואר ראשון בהנדסת חשמל ומחשבים\nתוכנית הלימודים בתואר להנדסת חשמל ומחשבים ),B.Sc( מורכבת מקבוצת מקצועות כדלקמן :\n1. מקצועות קדם לימוד')]"
37,"איך מסלול מית""ר מצטייני תואר ראשון בהנדסת תוכנה משולב בתכנית?","[Document(id='ddb3cf80-cb80-49ad-81d4-726a948f1156', metadata={'source': '362-2025.pdf', 'start_index': 61463}, page_content='ורסים המרכיבים את המסלול לבקרה ומכטרוניקה בלימודים\nלקראת תואר ראשון במחלקה להנדסת מכונות באוניברסיטת בן-גוריון בנגב. לכל מועמד תקבע תוכנית השלמה\nבהתאם לרקע הקודם שלו. קורסי ההשלמה אינם מזכים את הסטודנטים בנק""ז לתואר שני.\nב. קורסי חובה\nאשכול 1 – כללי\n'), Document(id='ab9d78db-8104-406e-a1b6-29d8d0c67b8b', metadata={'source': '361-2025.pdf', 'start_index': 125804}, page_content='כנית מית""ר להנדסה )מסלול ישיר לתואר שני (\nמטרת התוכנית היא קידום מהיר של תלמידים מצטיינים עם פוטנציאל גבוה להשתלב במחקרים\nבחזית המדע. התוכנית מיועדת לתלמידי תואר ראשון בהנדסת חשמל ומחשבים בסוף הסמסטר\nהשישי, וכן לתלמידי תואר ראשון בתואר כפול בהנדסת חשמל -מתמט')]"
38,מהו המבנה הכללי של קורסי החובה והבחירה בתוכנית?,[]
39,כיצד מאפשרת התכנית גמישות בקצב ההתקדמות בלימודי הנדסת תוכנה?,"[Document(id='31060e60-b7f4-41a9-90b7-58721d25e650', metadata={'source': '362-2025.pdf', 'start_index': -1}, page_content='� לתפקידי ניהול פרויקטים וניהול כללי בתעשייה.\nמבנה תכנית הלימודים\nתכנית הלימודים לתואר ראשון (.B.Sc) מקנה לבוגרים את התואר מהנדס. משך הלימודים המקובל לתואר ראשון\nהוא ארבע שנים. הלימודים משלבים הרצאות, תרגולים, מעבדות ופרויקטים. התכנית מספקת בסיס רחב המקנה\nלתלמיד')]"
40,מהו הבסיס הידע העיקרי של התכנית בהנדסת מערכות מידע?,"[Document(id='2146ff26-d12d-4c66-9543-31f77190841b', metadata={'source': '364-2025.pdf', 'start_index': 5772}, page_content=' לתואר ראשון ).B.Sc( בהנדסת תעשייה וניהול מיועדת למועמדים בעלי רקע מתמטי,\nמדעי וטכנולוגי המתאימים ללימודי הנדסה. מבנה התוכנית מושתת על מספר רבדים :\n• קורסי התשתית המדעית מיועדים להקניית הבסיס המדעי הנדרש למהנדסי תעשייה וניהול, בתחומי ידע כגון\nהנדסה,'), Document(id='3c16cd42-0b07-416b-bee5-61a207d8ba48', metadata={'source': '361-2025.pdf', 'start_index': -1}, page_content='�חי הנדסת חשמל והנדסת מחשבים בהתאם לתכנית הלימודים שלו, מבנה נתונים, מערכות\nלינאריות, מעגלים אלקטרוניים, מבוא לעיבוד אותות ועוד. מקצועות אלה מקנים לתלמיד רקע בסיסי במכלול\nהנושאים המרכיבים את התואר. החל מהסמסטר החמישי ללימודים )תחילת השנה השלישית(, בוחר התל'), Document(id='31060e60-b7f4-41a9-90b7-58721d25e650', metadata={'source': '362-2025.pdf', 'start_index': -1}, page_content='� לתפקידי ניהול פרויקטים וניהול כללי בתעשייה.\nמבנה תכנית הלימודים\nתכנית הלימודים לתואר ראשון (.B.Sc) מקנה לבוגרים את התואר מהנדס. משך הלימודים המקובל לתואר ראשון\nהוא ארבע שנים. הלימודים משלבים הרצאות, תרגולים, מעבדות ופרויקטים. התכנית מספקת בסיס רחב המקנה\nלתלמיד'), Document(id='18379726-53d6-4496-88a3-a65bfe22eec7', metadata={'source': '364-2025.pdf', 'start_index': 5558}, page_content='ישות גבוהות ושילוב תכנים חדשניים המשקפים את התפתחותו המהירה של המקצוע .\n2\n תכניות הלימוד במחלקה\nמידע מפורט נוסף על תכניות הלימודים השונות במחלקה מוצג בהמשך מסמך זה .\nלימודי התואר הראשון\nתוכנית הלימודים הארבע -שנתית לתואר ראשון ).B.Sc( בהנדסת תעשייה וניהול מיוע')]"
41,אילו תחומי התמחות מוצעים במסגרת התכנית להנדסת מערכות מידע?,"[Document(id='2146ff26-d12d-4c66-9543-31f77190841b', metadata={'source': '364-2025.pdf', 'start_index': 5772}, page_content=' לתואר ראשון ).B.Sc( בהנדסת תעשייה וניהול מיועדת למועמדים בעלי רקע מתמטי,\nמדעי וטכנולוגי המתאימים ללימודי הנדסה. מבנה התוכנית מושתת על מספר רבדים :\n• קורסי התשתית המדעית מיועדים להקניית הבסיס המדעי הנדרש למהנדסי תעשייה וניהול, בתחומי ידע כגון\nהנדסה,')]"
